index,id_leggo,id_autor,nome,partido,uf,bancada,nome_eleitoral,node_size
167,13,159238,Marcus Pestana,PSDB,MG,governo,Marcus Pestana (PSDB/MG),943.3333333333333
168,13,164359,Delegado Waldir,PSL,GO,governo,Delegado Waldir (PSL/GO),183.33333333333331
169,13,73579,Alberto Fraga,DEM,DF,governo,Alberto Fraga (DEM/DF),475
170,13,74048,Raul Jungmann,PPS,PE,governo,Raul Jungmann (PPS/PE),199.99999999999997
171,13,74253,Julio Lopes,PP,RJ,governo,Julio Lopes (PP/RJ),200
172,13,74847,Jair Bolsonaro,PSL,,governo,Jair Bolsonaro (PSL/NA),433.33333333333326
173,13,92346,Eduardo Bolsonaro,PSL,SP,governo,Eduardo Bolsonaro (PSL/SP),433.33333333333326
174,14,113247,Valmir Prascidelli,PT,SP,oposição,Valmir Prascidelli (PT/SP),338.46153846153845
175,14,129037,Gabriel Guimarães,PT,,oposição,Gabriel Guimarães (PT/NA),338.46153846153845
176,14,141398,Carlos Zarattini,PT,SP,oposição,Carlos Zarattini (PT/SP),5008.850311613114
177,14,141445,Pepe Vargas,PT,,oposição,Pepe Vargas (PT/NA),2400
178,14,141470,José Guimarães,PT,CE,oposição,José Guimarães (PT/CE),8206.438889053443
179,14,141488,Paulo Teixeira,PT,SP,oposição,Paulo Teixeira (PT/SP),8410.126038481834
180,14,159237,Assis Carvalho,PT,PI,oposição,Assis Carvalho (PT/PI),4868.27393431167
181,14,160575,Erika Kokay,PT,DF,oposição,Erika Kokay (PT/DF),8452.348480111283
182,14,178859,Moema Gramacho,PT,,oposição,Moema Gramacho (PT/NA),338.46153846153845
183,14,178866,Luizianne Lins,PT,CE,oposição,Luizianne Lins (PT/CE),4868.27393431167
184,14,73433,Arlindo Chinaglia,PT,SP,oposição,Arlindo Chinaglia (PT/SP),10551.572327044025
185,14,73434,Arnaldo Faria De Sá,PP,SP,governo,Arnaldo Faria De Sá (PP/SP),625
186,14,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
187,14,73586,Júlio Delgado,PSB,MG,oposição,Júlio Delgado (PSB/MG),350
188,14,74041,Luiz Couto,PT,PB,oposição,Luiz Couto (PT/PB),697.4358974358975
189,14,74160,Patrus Ananias,PT,MG,oposição,Patrus Ananias (PT/MG),4491.237314148365
190,14,74161,Reginaldo Lopes,PT,MG,oposição,Reginaldo Lopes (PT/MG),4423.975519090074
191,14,74275,José Mentor,PT,SP,oposição,José Mentor (PT/SP),550.9615384615385
192,14,74283,Vicentinho,PT,SP,oposição,Vicentinho (PT/SP),3168.526801141356
193,14,74371,Rubens Otoni,PT,GO,oposição,Rubens Otoni (PT/GO),4414.6958001068515
194,14,74398,Maria Do Rosário,PT,RS,oposição,Maria Do Rosário (PT/RS),9962.510490408065
195,14,74398,Maria do Rosário,PT,RS,oposição,Maria do Rosário (PT/RS),9962.510490408065
196,14,74585,Lincoln Portela,PL,MG,governo,Lincoln Portela (PL/MG),225
197,14,74688,Luiz Sérgio,PT,RJ,oposição,Luiz Sérgio (PT/RJ),2400
198,18,141335,Beto Faro,PT,PA,oposição,Beto Faro (PT/PA),3202.5927352072904
199,18,141405,Celso Maldaner,MDB,SC,governo,Celso Maldaner (MDB/SC),180
200,18,141423,Eliene Lima,PSD,MT,governo,Eliene Lima (PSD/MT),140
201,18,160508,Afonso Florence,PT,BA,oposição,Afonso Florence (PT/BA),3746.3654644247636
202,18,160535,Marcon,PT,RS,oposição,Marcon (PT/RS),3202.5927352072904
203,18,160544,Junji Abe,MDB,SP,governo,Junji Abe (MDB/SP),140
204,18,160610,Valmir Assunção,PT,BA,oposição,Valmir Assunção (PT/BA),3202.5927352072904
205,18,160615,Reinaldo Azambuja,PSDB,,governo,Reinaldo Azambuja (PSDB/NA),140
206,18,160633,Mandetta,DEM,MS,governo,Mandetta (DEM/MS),140
207,18,160668,Paulo Cesar Quartiero,DEM,,governo,Paulo Cesar Quartiero (DEM/NA),140
208,18,171617,Paulão,PT,AL,oposição,Paulão (PT/AL),3202.5927352072904
209,18,73483,Luis Carlos Heinze,PP,,governo,Luis Carlos Heinze (PP/NA),140
210,18,73553,Nelson Marquezelli,PTB,SP,governo,Nelson Marquezelli (PTB/SP),328.3333333333333
211,18,73568,Celso Jacob,MDB,RJ,governo,Celso Jacob (MDB/RJ),225
212,18,74010,Valdir Colatto,MDB,SC,governo,Valdir Colatto (MDB/SC),479.99999999999994
213,18,74160,Patrus Ananias,PT,MG,oposição,Patrus Ananias (PT/MG),4491.237314148365
214,23,74140,José Carlos Araújo,PR,BA,governo,José Carlos Araújo (PR/BA),199.99999999999997
215,23,74553,José Carlos Aleluia,DEM,BA,governo,José Carlos Aleluia (DEM/BA),199.99999999999997
216,24,73673,Pedro Wilson,PT,GO,oposição,Pedro Wilson (PT/GO),99.99999999999999
217,24,74285,Carlos Abicalil,PT,MT,oposição,Carlos Abicalil (PT/MT),241.66666666666663
218,24,74856,Laura Carneiro,DEM,RJ,governo,Laura Carneiro (DEM/RJ),150
219,28,160511,Alessandro Molon,PSB,RJ,oposição,Alessandro Molon (PSB/RJ),996.7948717948718
220,28,178886,Juscelino Filho,DEM,MA,governo,Juscelino Filho (DEM/MA),50
221,28,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
222,28,74039,Sandra Rosado,PSB,RN,oposição,Sandra Rosado (PSB/RN),199.99999999999997
223,28,74041,Luiz Couto,PT,PB,oposição,Luiz Couto (PT/PB),697.4358974358975
224,33,141462,Lira Maia,DEM,PA,governo,Lira Maia (DEM/PA),80
225,33,73933,Zequinha Marinho,PSC,,governo,Zequinha Marinho (PSC/NA),80
226,33,74077,Giovanni Queiroz,PDT,PA,oposição,Giovanni Queiroz (PDT/PA),80
227,33,74222,Asdrubal Bentes,PMDB,PA,governo,Asdrubal Bentes (PMDB/PA),80
228,34,107283,Gleisi Hoffmann,PT,PR,oposição,Gleisi Hoffmann (PT/PR),7196.880303484077
229,34,122974,Pedro Lucas Fernandes,PTB,MA,governo,Pedro Lucas Fernandes (PTB/MA),100
230,34,132504,Enio Verri,PT,,oposição,Enio Verri (PT/NA),3470.4498780644335
231,34,133439,André Figueiredo,PDT,CE,oposição,André Figueiredo (PDT/CE),611.5384615384615
232,34,133810,Marcelo Moraes,PTB,RS,governo,Marcelo Moraes (PTB/RS),100
233,34,133968,Paulo Ramos,PDT,RJ,oposição,Paulo Ramos (PDT/RJ),280
234,34,134812,Edmilson Rodrigues,PSOL,PA,oposição,Edmilson Rodrigues (PSOL/PA),6446.666666666667
235,34,141335,Beto Faro,PT,PA,oposição,Beto Faro (PT/PA),3202.5927352072904
236,34,141398,Carlos Zarattini,PT,SP,oposição,Carlos Zarattini (PT/SP),5008.850311613114
237,34,141405,Celso Maldaner,MDB,SC,governo,Celso Maldaner (MDB/SC),180
238,34,141470,José Guimarães,PT,CE,oposição,José Guimarães (PT/CE),8206.438889053443
239,34,141488,Paulo Teixeira,PT,SP,oposição,Paulo Teixeira (PT/SP),8410.126038481834
240,34,141518,Paulo Pereira Da Silva,SOLIDARIEDADE,SP,governo,Paulo Pereira Da Silva (SOLIDARIEDADE/SP),211.53846153846155
241,34,141555,Vinicius Carvalho,PRB,SP,governo,Vinicius Carvalho (PRB/SP),50
242,34,143084,Tiago Dimas,SOLIDARIEDADE,TO,governo,Tiago Dimas (SOLIDARIEDADE/TO),161.53846153846152
243,34,152605,Glauber Braga,PSOL,RJ,oposição,Glauber Braga (PSOL/RJ),1660
244,34,156190,Marcel Van Hattem,NOVO,RS,governo,Marcel Van Hattem (NOVO/RS),300
245,34,159237,Assis Carvalho,PT,PI,oposição,Assis Carvalho (PT/PI),4868.27393431167
246,34,160508,Afonso Florence,PT,BA,oposição,Afonso Florence (PT/BA),3746.3654644247636
247,34,160511,Alessandro Molon,PSB,RJ,oposição,Alessandro Molon (PSB/RJ),996.7948717948718
248,34,160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,governo,Aureo Ribeiro (SOLIDARIEDADE/RJ),915.3846153846155
249,34,160512,Aureo,SOLIDARIEDADE,RJ,governo,Aureo (SOLIDARIEDADE/RJ),915.3846153846155
250,34,160528,Danilo Cabral,PSB,PE,oposição,Danilo Cabral (PSB/PE),137.5
251,34,160535,Marcon,PT,RS,oposição,Marcon (PT/RS),3202.5927352072904
252,34,160538,Bohn Gass,PT,RS,oposição,Bohn Gass (PT/RS),4025.4498780644335
253,34,160556,Padre João,PT,MG,oposição,Padre João (PT/MG),4025.4498780644326
254,34,160569,Waldenor Pereira,PT,BA,oposição,Waldenor Pereira (PT/BA),2864.192301658609
255,34,160575,Erika Kokay,PT,DF,oposição,Erika Kokay (PT/DF),8452.348480111283
256,34,160592,Zeca Dirceu,PT,PR,oposição,Zeca Dirceu (PT/PR),3600.9444384107455
257,34,160604,Pedro Uczai,PT,SC,oposição,Pedro Uczai (PT/SC),7518.801581267888
258,34,160610,Valmir Assunção,PT,BA,oposição,Valmir Assunção (PT/BA),3202.5927352072904
259,34,160632,Zé Silva,SOLIDARIEDADE,MG,governo,Zé Silva (SOLIDARIEDADE/MG),161.53846153846155
260,34,160641,Professora Marcivania,PCdoB,AP,governo,Professora Marcivania (PCdoB/AP),787.5
261,34,160642,Pastor Eurico,PATRIOTA,PE,governo,Pastor Eurico (PATRIOTA/PE),183.33333333333331
262,34,160665,Augusto Coutinho,SOLIDARIEDADE,PE,governo,Augusto Coutinho (SOLIDARIEDADE/PE),273.8461538461538
263,34,160669,Genecias Noronha,SOLIDARIEDADE,CE,governo,Genecias Noronha (SOLIDARIEDADE/CE),161.53846153846155
