id_ext,codigo_emenda,data_apresentacao,numero,local,autor,casa,tipo_documento,inteiro_teor
2119881,2125214,2017-03-13,60,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533214
2119881,2125215,2017-03-13,61,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533219
2119881,2125216,2017-03-13,62,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533185
2119881,2125217,2017-03-13,63,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533191
2119881,2125218,2017-03-13,64,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533192
2119881,2125219,2017-03-13,65,PEC28716,Eduardo da Fonte - PP/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533193
2119881,2125238,2017-03-14,66,PEC28716,João Campos - PRB/GO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533194
2119881,2125239,2017-03-14,67,PEC28716,João Campos - PRB/GO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533195
2119881,2125240,2017-03-14,68,PEC28716,João Campos - PRB/GO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533196
2119881,2125241,2017-03-14,69,PEC28716,Domingos Neto - PSD/CE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533197
2119881,2125286,2017-03-14,70,PEC28716,Danilo Cabral - PSB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533880
2119881,2125291,2017-03-14,71,PEC28716,Danilo Cabral - PSB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533251
2119881,2125292,2017-03-14,72,PEC28716,Danilo Cabral - PSB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533680
2119881,2125293,2017-03-14,73,PEC28716,Danilo Cabral - PSB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533252
2119881,2125304,2017-03-14,74,PEC28716,Subtenente Gonzaga - PDT/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533258
2119881,2125305,2017-03-14,75,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533260
2119881,2125316,2017-03-14,76,PEC28716,Gorete Pereira - PR/CE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533264
2119881,2125317,2017-03-14,77,PEC28716,Eduardo da Fonte - PP/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533189
2119881,2125318,2017-03-14,78,PEC28716,Pepe Vargas - PT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533224
2119881,2125320,2017-03-14,79,PEC28716,Efraim Filho - DEM/PB,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533227
2119881,2125321,2017-03-14,80,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533229
2119881,2125322,2017-03-14,81,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533230
2119881,2125323,2017-03-14,82,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533232
2119881,2125324,2017-03-14,83,PEC28716,Pepe Vargas - PT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535441
2119881,2125325,2017-03-14,84,PEC28716,Pepe Vargas - PT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535503
2119881,2125326,2017-03-14,85,PEC28716,Pepe Vargas - PT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535440
2119881,2125327,2017-03-14,86,PEC28716,Adelmo Carneiro Leão - PT/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533243
2119881,2125328,2017-03-14,87,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533250
2119881,2125329,2017-03-14,88,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533807
2119881,2125330,2017-03-14,89,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533255
2119881,2125331,2017-03-14,90,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534005
2119881,2125333,2017-03-14,91,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534245
2119881,2125334,2017-03-14,92,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533266
2119881,2125335,2017-03-14,93,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533279
2119881,2125336,2017-03-14,94,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533281
2119881,2125338,2017-03-14,95,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533283
2119881,2125339,2017-03-14,96,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533284
2119881,2125344,2017-03-14,97,PEC28716,Arnaldo Jordy - PPS/PA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533285
2119881,2125345,2017-03-14,98,PEC28716,Arnaldo Jordy - PPS/PA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533286
2119881,2125346,2017-03-14,99,PEC28716,Silas Câmara - PRB/AM,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533288
2119881,2125347,2017-03-14,100,PEC28716,João Campos - PRB/GO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533291
2119881,2125349,2017-03-14,101,PEC28716,Zé Silva - SD/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533269
2119881,2125351,2017-03-14,102,PEC28716,Alberto Fraga - DEM/DF,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533271
2119881,2125354,2017-03-14,103,PEC28716,Mário Negromonte Jr. - PP/BA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533272
