id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
100,152605,Dep. Glauber Braga,PSOL,RJ,oposição,camara,Dep. Glauber Braga (PSOL/RJ),3.6,1152605
100,156190,Dep. Marcel Van Hattem,NOVO,RS,governo,camara,Dep. Marcel Van Hattem (NOVO/RS),3.75,1156190
100,157130,Dep. Túlio Gadêlha,PDT,PE,oposição,camara,Dep. Túlio Gadêlha (PDT/PE),1,1157130
100,160511,Dep. Alessandro Molon,PSB,RJ,oposição,camara,Dep. Alessandro Molon (PSB/RJ),0.5,1160511
100,160512,Dep. Aureo Ribeiro,SOLIDARIEDADE,RJ,governo,camara,Dep. Aureo Ribeiro (SOLIDARIEDADE/RJ),0.5,1160512
100,160518,Dep. Weliton Prado,PROS,MG,governo,camara,Dep. Weliton Prado (PROS/MG),1,1160518
100,160527,Dep. Aguinaldo Ribeiro,PP,PB,governo,camara,Dep. Aguinaldo Ribeiro (PP/PB),1,1160527
100,160528,Dep. Danilo Cabral,PSB,PE,oposição,camara,Dep. Danilo Cabral (PSB/PE),3.875,1160528
100,160556,Dep. Padre João,PT,MG,oposição,camara,Dep. Padre João (PT/MG),2,1160556
100,160570,Dep. Jerônimo Goergen,PP,RS,governo,camara,Dep. Jerônimo Goergen (PP/RS),8,1160570
100,160575,Dep. Erika Kokay,PT,DF,oposição,camara,Dep. Erika Kokay (PT/DF),10,1160575
100,160588,Dep. Diego Andrade,PSD,MG,governo,camara,Dep. Diego Andrade (PSD/MG),1,1160588
100,160604,Dep. Pedro Uczai,PT,SC,oposição,camara,Dep. Pedro Uczai (PT/SC),18.892857142857142,1160604
100,160632,Dep. Zé Silva,SOLIDARIEDADE,MG,governo,camara,Dep. Zé Silva (SOLIDARIEDADE/MG),1,1160632
100,160639,Dep. Professora Dorinha Seabra Rezende,DEM,TO,governo,camara,Dep. Professora Dorinha Seabra Rezende (DEM/TO),5,1160639
100,160641,Dep. Professora Marcivania,PCdoB,AP,oposição,camara,Dep. Professora Marcivania (PCdoB/AP),4.375,1160641
100,160642,Dep. Pastor Eurico,PATRIOTA,PE,governo,camara,Dep. Pastor Eurico (PATRIOTA/PE),3.833333333333333,1160642
100,160653,Dep. Roberto De Lucena,PODE,SP,governo,camara,Dep. Roberto De Lucena (PODE/SP),1,1160653
100,160655,Dep. Ricardo Izar,PP,SP,governo,camara,Dep. Ricardo Izar (PP/SP),1,1160655
100,160758,Dep. Domingos Sávio,PSDB,MG,governo,camara,Dep. Domingos Sávio (PSDB/MG),1,1160758
100,164359,Dep. Delegado Waldir,PSL,GO,governo,camara,Dep. Delegado Waldir (PSL/GO),2,1164359
